period_date,year,quarter,year_quarter,us_state,remittances_musd
2013-04-01,2013,2,2013Q2,Rhode Island,2.925488
2013-04-01,2013,2,2013Q2,Tennessee,86.41093
2013-04-01,2013,2,2013Q2,Texas,767.076011
2013-04-01,2013,2,2013Q2,Utah,56.420881
2013-04-01,2013,2,2013Q2,Vermont,0.981136
2013-04-01,2013,2,2013Q2,Virginia,64.438131
2013-04-01,2013,2,2013Q2,Washington,139.625544
2013-04-01,2013,2,2013Q2,"Washington, D.c.",4.131165
2013-04-01,2013,2,2013Q2,West Virginia,3.391736
2013-04-01,2013,2,2013Q2,Wisconsin,58.624674
2013-04-01,2013,2,2013Q2,Wyoming,9.007772
2013-07-01,2013,3,2013Q3,Alabama,45.960645
2013-07-01,2013,3,2013Q3,Alaska,12.17758
2013-07-01,2013,3,2013Q3,Arizona,110.283953
2013-07-01,2013,3,2013Q3,Arkansas,40.630385
2013-07-01,2013,3,2013Q3,California,1394.922354
2013-07-01,2013,3,2013Q3,Carolina Del Norte,169.840425
2013-07-01,2013,3,2013Q3,Carolina Del Sur,60.604338
2013-07-01,2013,3,2013Q3,Colorado,137.060057
2013-07-01,2013,3,2013Q3,Connecticut,16.659558
2013-07-01,2013,3,2013Q3,Dakota Del Norte,8.187432
2013-07-01,2013,3,2013Q3,Dakota Del Sur,4.680853
2013-07-01,2013,3,2013Q3,Delaware,12.790885
2013-07-01,2013,3,2013Q3,Florida,195.354864
2013-07-01,2013,3,2013Q3,Georgia,160.6495
2013-07-01,2013,3,2013Q3,Hawaii,2.87589
2013-07-01,2013,3,2013Q3,Idaho,27.114834
2013-07-01,2013,3,2013Q3,Illinois,239.410865
2013-07-01,2013,3,2013Q3,Indiana,67.205154
2013-07-01,2013,3,2013Q3,Iowa,27.856298
2013-07-01,2013,3,2013Q3,Kansas,43.958617
2013-07-01,2013,3,2013Q3,Kentucky,42.884543
2013-07-01,2013,3,2013Q3,Louisiana,64.791622
2013-07-01,2013,3,2013Q3,Maine,1.230947
2013-07-01,2013,3,2013Q3,Maryland,38.270653
2013-07-01,2013,3,2013Q3,Massachusetts,10.957485
2013-07-01,2013,3,2013Q3,Michigan,51.726761
2013-07-01,2013,3,2013Q3,Minnesota,92.339578
2013-07-01,2013,3,2013Q3,Mississipi,28.283845
2013-07-01,2013,3,2013Q3,Misuri,34.746794
2013-07-01,2013,3,2013Q3,Montana,2.187365
2013-07-01,2013,3,2013Q3,Nebraska,27.335851
2013-07-01,2013,3,2013Q3,Nevada,59.501634
2013-07-01,2013,3,2013Q3,No Identificado,760.826477
2013-07-01,2013,3,2013Q3,Nueva Jersey,107.066488
2013-07-01,2013,3,2013Q3,Nueva York,193.961088
2013-07-01,2013,3,2013Q3,Nuevo Hampshire,3.122675
2013-07-01,2013,3,2013Q3,Nuevo Mexico,32.955844
2013-07-01,2013,3,2013Q3,Ohio,54.318431
2013-07-01,2013,3,2013Q3,Oklahoma,57.669281
2013-07-01,2013,3,2013Q3,Oregon,78.452298
2013-07-01,2013,3,2013Q3,Pensilvania,57.311697
2013-07-01,2013,3,2013Q3,Puerto Rico,0.21365
2013-07-01,2013,3,2013Q3,Rhode Island,2.4884
2013-07-01,2013,3,2013Q3,Tennessee,80.873011
2013-07-01,2013,3,2013Q3,Texas,648.454611
2013-07-01,2013,3,2013Q3,Utah,48.058716
2013-07-01,2013,3,2013Q3,Vermont,0.92887
2013-07-01,2013,3,2013Q3,Virginia,61.768157
2013-07-01,2013,3,2013Q3,Washington,147.106501
2013-07-01,2013,3,2013Q3,"Washington, D.c.",3.024256
2013-07-01,2013,3,2013Q3,West Virginia,2.803156
2013-07-01,2013,3,2013Q3,Wisconsin,49.948483
2013-07-01,2013,3,2013Q3,Wyoming,9.745647
2013-10-01,2013,4,2013Q4,Alabama,45.338249
2013-10-01,2013,4,2013Q4,Alaska,9.568414
2013-10-01,2013,4,2013Q4,Arizona,110.051938
2013-10-01,2013,4,2013Q4,Arkansas,37.542615
2013-10-01,2013,4,2013Q4,California,1488.382782
2013-10-01,2013,4,2013Q4,Carolina Del Norte,143.254945
2013-10-01,2013,4,2013Q4,Carolina Del Sur,57.588557
2013-10-01,2013,4,2013Q4,Colorado,134.186309
2013-10-01,2013,4,2013Q4,Connecticut,15.762427
2013-10-01,2013,4,2013Q4,Dakota Del Norte,6.319829
2013-10-01,2013,4,2013Q4,Dakota Del Sur,4.133717
2013-10-01,2013,4,2013Q4,Delaware,11.63927
2013-10-01,2013,4,2013Q4,Florida,227.377034
2013-10-01,2013,4,2013Q4,Georgia,157.077369
2013-10-01,2013,4,2013Q4,Hawaii,2.546441
2013-10-01,2013,4,2013Q4,Idaho,25.936752
2013-10-01,2013,4,2013Q4,Illinois,296.802968
2013-10-01,2013,4,2013Q4,Indiana,64.270773
2013-10-01,2013,4,2013Q4,Iowa,26.811388
2013-10-01,2013,4,2013Q4,Kansas,44.126241
2013-10-01,2013,4,2013Q4,Kentucky,43.846911
2013-10-01,2013,4,2013Q4,Louisiana,65.849175
2013-10-01,2013,4,2013Q4,Maine,0.618678
2013-10-01,2013,4,2013Q4,Maryland,35.011496
2013-10-01,2013,4,2013Q4,Massachusetts,10.532636
2013-10-01,2013,4,2013Q4,Michigan,42.014616
2013-10-01,2013,4,2013Q4,Minnesota,186.496091
2013-10-01,2013,4,2013Q4,Mississipi,26.332285
2013-10-01,2013,4,2013Q4,Misuri,31.964597
2013-10-01,2013,4,2013Q4,Montana,1.314281
2013-10-01,2013,4,2013Q4,Nebraska,25.602072
2013-10-01,2013,4,2013Q4,Nevada,57.893096
2013-10-01,2013,4,2013Q4,No Identificado,467.151757
2013-10-01,2013,4,2013Q4,Nueva Jersey,99.228647
2013-10-01,2013,4,2013Q4,Nueva York,206.423015
2013-10-01,2013,4,2013Q4,Nuevo Hampshire,3.203892
2013-10-01,2013,4,2013Q4,Nuevo Mexico,32.087102
2013-10-01,2013,4,2013Q4,Ohio,51.285269
2013-10-01,2013,4,2013Q4,Oklahoma,51.975661
2013-10-01,2013,4,2013Q4,Oregon,76.153701
2013-10-01,2013,4,2013Q4,Pensilvania,52.841444
2013-10-01,2013,4,2013Q4,Puerto Rico,0.113097
2013-10-01,2013,4,2013Q4,Rhode Island,2.342424
2013-10-01,2013,4,2013Q4,Tennessee,78.554613
2013-10-01,2013,4,2013Q4,Texas,667.019718
2013-10-01,2013,4,2013Q4,Utah,50.132066
2013-10-01,2013,4,2013Q4,Vermont,0.778805
2013-10-01,2013,4,2013Q4,Virginia,54.601504
2013-10-01,2013,4,2013Q4,Washington,137.483729
2013-10-01,2013,4,2013Q4,"Washington, D.c.",2.591819
2013-10-01,2013,4,2013Q4,West Virginia,2.467868
2013-10-01,2013,4,2013Q4,Wisconsin,44.851432
2013-10-01,2013,4,2013Q4,Wyoming,8.741297
2014-01-01,2014,1,2014Q1,Alabama,37.970647
2014-01-01,2014,1,2014Q1,Alaska,7.815548
2014-01-01,2014,1,2014Q1,Arizona,99.932333
2014-01-01,2014,1,2014Q1,Arkansas,31.268022
2014-01-01,2014,1,2014Q1,California,1329.83066
2014-01-01,2014,1,2014Q1,Carolina Del Norte,113.89957
2014-01-01,2014,1,2014Q1,Carolina Del Sur,50.720019
2014-01-01,2014,1,2014Q1,Colorado,119.977132
2014-01-01,2014,1,2014Q1,Connecticut,15.313184
2014-01-01,2014,1,2014Q1,Dakota Del Norte,4.366923
2014-01-01,2014,1,2014Q1,Dakota Del Sur,3.239858
2014-01-01,2014,1,2014Q1,Delaware,8.525153
2014-01-01,2014,1,2014Q1,Florida,199.945256
2014-01-01,2014,1,2014Q1,Georgia,129.284456
2014-01-01,2014,1,2014Q1,Hawaii,1.887372
2014-01-01,2014,1,2014Q1,Idaho,19.935287
2014-01-01,2014,1,2014Q1,Illinois,276.487635
2014-01-01,2014,1,2014Q1,Indiana,54.850464
2014-01-01,2014,1,2014Q1,Iowa,22.476706
2014-01-01,2014,1,2014Q1,Kansas,37.649058
2014-01-01,2014,1,2014Q1,Kentucky,29.627948
2014-01-01,2014,1,2014Q1,Louisiana,50.36252
2014-01-01,2014,1,2014Q1,Maine,0.398869
2014-01-01,2014,1,2014Q1,Maryland,28.419719
2014-01-01,2014,1,2014Q1,Massachusetts,8.646786
2014-01-01,2014,1,2014Q1,Michigan,37.549541
2014-01-01,2014,1,2014Q1,Minnesota,184.035131
2014-01-01,2014,1,2014Q1,Mississipi,21.554679
2014-01-01,2014,1,2014Q1,Misuri,25.077521
2014-01-01,2014,1,2014Q1,Montana,1.02535
2014-01-01,2014,1,2014Q1,Nebraska,21.551792
2014-01-01,2014,1,2014Q1,Nevada,59.090762
2014-01-01,2014,1,2014Q1,No Identificado,1059.829037
2014-01-01,2014,1,2014Q1,Nueva Jersey,82.768399
2014-01-01,2014,1,2014Q1,Nueva York,170.506089
2014-01-01,2014,1,2014Q1,Nuevo Hampshire,2.49795
2014-01-01,2014,1,2014Q1,Nuevo Mexico,32.745745
2014-01-01,2014,1,2014Q1,Ohio,43.861989
2014-01-01,2014,1,2014Q1,Oklahoma,42.433686
2014-01-01,2014,1,2014Q1,Oregon,65.194345
2014-01-01,2014,1,2014Q1,Pensilvania,41.734316
2014-01-01,2014,1,2014Q1,Puerto Rico,0.089143
2014-01-01,2014,1,2014Q1,Rhode Island,5.63032
2014-01-01,2014,1,2014Q1,Tennessee,64.058717
2014-01-01,2014,1,2014Q1,Texas,572.048405
2014-01-01,2014,1,2014Q1,Utah,50.97624
2014-01-01,2014,1,2014Q1,Vermont,0.633986
2014-01-01,2014,1,2014Q1,Virginia,44.276752
2014-01-01,2014,1,2014Q1,Washington,110.704133
2014-01-01,2014,1,2014Q1,"Washington, D.c.",2.609647
2014-01-01,2014,1,2014Q1,West Virginia,2.030834
2014-01-01,2014,1,2014Q1,Wisconsin,45.806823
2014-01-01,2014,1,2014Q1,Wyoming,7.792605
2014-04-01,2014,2,2014Q2,Alabama,42.832278
2014-04-01,2014,2,2014Q2,Alaska,9.388236
2014-04-01,2014,2,2014Q2,Arizona,108.49536
2014-04-01,2014,2,2014Q2,Arkansas,33.496828
2014-04-01,2014,2,2014Q2,California,1373.169364
2014-04-01,2014,2,2014Q2,Carolina Del Norte,141.594058
2014-04-01,2014,2,2014Q2,Carolina Del Sur,56.848746
2014-04-01,2014,2,2014Q2,Colorado,127.2314
2014-04-01,2014,2,2014Q2,Connecticut,18.321996
2014-04-01,2014,2,2014Q2,Dakota Del Norte,7.211831
2014-04-01,2014,2,2014Q2,Dakota Del Sur,5.151394
2014-04-01,2014,2,2014Q2,Delaware,9.985926
2014-04-01,2014,2,2014Q2,Florida,212.367262
2014-04-01,2014,2,2014Q2,Georgia,158.649739
2014-04-01,2014,2,2014Q2,Hawaii,2.024039
2014-04-01,2014,2,2014Q2,Idaho,24.546689
2014-04-01,2014,2,2014Q2,Illinois,261.818254
2014-04-01,2014,2,2014Q2,Indiana,56.703075
2014-04-01,2014,2,2014Q2,Iowa,24.213216
2014-04-01,2014,2,2014Q2,Kansas,41.50058
2014-04-01,2014,2,2014Q2,Kentucky,33.830674
2014-04-01,2014,2,2014Q2,Louisiana,65.199998
2014-04-01,2014,2,2014Q2,Maine,0.682601
2014-04-01,2014,2,2014Q2,Maryland,35.4921
2014-04-01,2014,2,2014Q2,Massachusetts,11.50209
2014-04-01,2014,2,2014Q2,Michigan,39.596094
2014-04-01,2014,2,2014Q2,Minnesota,108.676462
2014-04-01,2014,2,2014Q2,Mississipi,23.963644
2014-04-01,2014,2,2014Q2,Misuri,32.279123
2014-04-01,2014,2,2014Q2,Montana,1.687969
2014-04-01,2014,2,2014Q2,Nebraska,23.161075
2014-04-01,2014,2,2014Q2,Nevada,53.292965
2014-04-01,2014,2,2014Q2,No Identificado,1522.321713
2014-04-01,2014,2,2014Q2,Nueva Jersey,99.457934
2014-04-01,2014,2,2014Q2,Nueva York,214.582519
2014-04-01,2014,2,2014Q2,Nuevo Hampshire,3.677028
2014-04-01,2014,2,2014Q2,Nuevo Mexico,30.049937
2014-04-01,2014,2,2014Q2,Ohio,47.120191
2014-04-01,2014,2,2014Q2,Oklahoma,46.21606
2014-04-01,2014,2,2014Q2,Oregon,63.444546
2014-04-01,2014,2,2014Q2,Pensilvania,48.372723
2014-04-01,2014,2,2014Q2,Puerto Rico,0.069601
2014-04-01,2014,2,2014Q2,Rhode Island,3.210279
2014-04-01,2014,2,2014Q2,Tennessee,71.197445
2014-04-01,2014,2,2014Q2,Texas,653.494348
2014-04-01,2014,2,2014Q2,Utah,46.687888
2014-04-01,2014,2,2014Q2,Vermont,0.704923
2014-04-01,2014,2,2014Q2,Virginia,55.868808
2014-04-01,2014,2,2014Q2,Washington,109.964363
2014-04-01,2014,2,2014Q2,"Washington, D.c.",2.833615
2014-04-01,2014,2,2014Q2,West Virginia,2.552071
2014-04-01,2014,2,2014Q2,Wisconsin,48.427473
2014-04-01,2014,2,2014Q2,Wyoming,9.511819
2014-07-01,2014,3,2014Q3,Alabama,45.700259
2014-07-01,2014,3,2014Q3,Alaska,11.427496
2014-07-01,2014,3,2014Q3,Arizona,99.162818
2014-07-01,2014,3,2014Q3,Arkansas,38.495605
2014-07-01,2014,3,2014Q3,California,1396.741823
2014-07-01,2014,3,2014Q3,Carolina Del Norte,175.150257
2014-07-01,2014,3,2014Q3,Carolina Del Sur,64.062454
2014-07-01,2014,3,2014Q3,Colorado,149.119033
2014-07-01,2014,3,2014Q3,Connecticut,17.733027
2014-07-01,2014,3,2014Q3,Dakota Del Norte,11.109691
2014-07-01,2014,3,2014Q3,Dakota Del Sur,6.130105
2014-07-01,2014,3,2014Q3,Delaware,13.079025
2014-07-01,2014,3,2014Q3,Florida,205.65006
2014-07-01,2014,3,2014Q3,Georgia,166.898232
2014-07-01,2014,3,2014Q3,Hawaii,2.047711
2014-07-01,2014,3,2014Q3,Idaho,27.591762
2014-07-01,2014,3,2014Q3,Illinois,251.869083
2014-07-01,2014,3,2014Q3,Indiana,68.103635
2014-07-01,2014,3,2014Q3,Iowa,29.083207
2014-07-01,2014,3,2014Q3,Kansas,44.257187
2014-07-01,2014,3,2014Q3,Kentucky,46.571995
2014-07-01,2014,3,2014Q3,Louisiana,65.606054
2014-07-01,2014,3,2014Q3,Maine,1.529621
2014-07-01,2014,3,2014Q3,Maryland,36.842128
2014-07-01,2014,3,2014Q3,Massachusetts,11.005196
2014-07-01,2014,3,2014Q3,Michigan,55.047055
2014-07-01,2014,3,2014Q3,Minnesota,190.308232
2014-07-01,2014,3,2014Q3,Mississipi,28.755979
2014-07-01,2014,3,2014Q3,Misuri,37.003974
2014-07-01,2014,3,2014Q3,Montana,3.310092
2014-07-01,2014,3,2014Q3,Nebraska,27.412209
2014-07-01,2014,3,2014Q3,Nevada,57.65846
2014-07-01,2014,3,2014Q3,No Identificado,769.974799
2014-07-01,2014,3,2014Q3,Nueva Jersey,106.40317
2014-07-01,2014,3,2014Q3,Nueva York,215.832454
2014-07-01,2014,3,2014Q3,Nuevo Hampshire,3.361814
2014-07-01,2014,3,2014Q3,Nuevo Mexico,29.769193
2014-07-01,2014,3,2014Q3,Ohio,54.68463
2014-07-01,2014,3,2014Q3,Oklahoma,53.853597
2014-07-01,2014,3,2014Q3,Oregon,77.176706
2014-07-01,2014,3,2014Q3,Pensilvania,54.185435
2014-07-01,2014,3,2014Q3,Puerto Rico,0.070078
2014-07-01,2014,3,2014Q3,Rhode Island,3.939746
2014-07-01,2014,3,2014Q3,Tennessee,87.519517
2014-07-01,2014,3,2014Q3,Texas,702.20588
2014-07-01,2014,3,2014Q3,Utah,48.002692
2014-07-01,2014,3,2014Q3,Vermont,0.787336
2014-07-01,2014,3,2014Q3,Virginia,62.261916
2014-07-01,2014,3,2014Q3,Washington,153.427722
2014-07-01,2014,3,2014Q3,"Washington, D.c.",2.80379
2014-07-01,2014,3,2014Q3,West Virginia,3.015463
2014-07-01,2014,3,2014Q3,Wisconsin,54.9544
2014-07-01,2014,3,2014Q3,Wyoming,10.822609
2014-10-01,2014,4,2014Q4,Alabama,43.744959
2014-10-01,2014,4,2014Q4,Alaska,9.969707
2014-10-01,2014,4,2014Q4,Arizona,103.970534
2014-10-01,2014,4,2014Q4,Arkansas,35.84232
2014-10-01,2014,4,2014Q4,California,1418.801221
2014-10-01,2014,4,2014Q4,Carolina Del Norte,147.924999
2014-10-01,2014,4,2014Q4,Carolina Del Sur,59.957814
2014-10-01,2014,4,2014Q4,Colorado,138.627919
2014-10-01,2014,4,2014Q4,Connecticut,15.637338
2014-10-01,2014,4,2014Q4,Dakota Del Norte,10.360746
2014-10-01,2014,4,2014Q4,Dakota Del Sur,4.896769
2014-10-01,2014,4,2014Q4,Delaware,11.821142
2014-10-01,2014,4,2014Q4,Florida,219.947423
2014-10-01,2014,4,2014Q4,Georgia,164.205218
2014-10-01,2014,4,2014Q4,Hawaii,2.549173
