"mx_state","mx_municipality","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District Of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Aguascalientes","Aguascalientes",1.96530697201582e-05,0,8.57588496879629e-05,5.89592091604745e-05,0.001141664686471,0.000305515902013368,8.9332135091628e-06,8.9332135091628e-06,0,0.000225116980430903,5.00259956513117e-05,1.78664270183256e-06,1.78664270183256e-05,0.00051633974082961,0.000546712666760763,5.18126383531442e-05,5.18126383531442e-05,4.10927821421489e-05,1.96530697201582e-05,0,7.14657080733024e-06,3.57328540366512e-06,4.82393529494791e-05,2.8586283229321e-05,1.07198562109954e-05,5.35992810549768e-06,5.35992810549768e-06,3.57328540366512e-05,0.000110771847513619,0,7.14657080733024e-06,5.89592091604745e-05,1.96530697201582e-05,9.46920631971257e-05,5.35992810549768e-06,2.8586283229321e-05,0.000185810840990586,1.07198562109954e-05,1.07198562109954e-05,0,4.28794248439814e-05,1.78664270183256e-06,7.68256361788e-05,0.00125600981938829,6.96790653714698e-05,0,2.32263551238233e-05,5.53859237568093e-05,0,4.64527102476466e-05,1.25064989128279e-05
"Aguascalientes","Asientos",1.78664270183256e-06,0,0,2.32263551238233e-05,6.43191372659721e-05,2.50129978256558e-05,0,0,0,1.07198562109954e-05,7.14657080733024e-06,0,0,7.68256361788e-05,1.25064989128279e-05,0,1.78664270183256e-06,0,1.78664270183256e-06,0,3.57328540366512e-06,0,0,1.78664270183256e-06,0,0,0,1.78664270183256e-06,1.78664270183256e-06,0,0,7.14657080733024e-06,1.78664270183256e-06,1.96530697201582e-05,0,0,1.42931416146605e-05,0,0,0,3.57328540366512e-06,0,1.07198562109954e-05,0.000150077986953935,7.14657080733024e-06,0,0,0,0,0,0
"Aguascalientes","Calvillo",3.57328540366512e-06,0,1.78664270183256e-05,8.9332135091628e-06,0.000255489906362056,8.39722069861303e-05,0,0,0,2.32263551238233e-05,7.14657080733024e-06,1.78664270183256e-06,1.42931416146605e-05,0.000266209762573051,3.39462113348186e-05,1.78664270183256e-06,1.78664270183256e-05,0,3.57328540366512e-06,0,0,0,1.78664270183256e-06,5.35992810549768e-06,3.57328540366512e-06,0,7.14657080733024e-06,0,8.9332135091628e-06,0,0,3.57328540366512e-06,0,3.93061394403163e-05,1.78664270183256e-06,0,0.000212610481518075,8.9332135091628e-06,3.57328540366512e-06,0,0,5.35992810549768e-06,5.35992810549768e-06,0.000123278346426447,1.96530697201582e-05,0,1.78664270183256e-06,7.14657080733024e-06,0,1.25064989128279e-05,0
"Aguascalientes","Cosio",0,0,1.78664270183256e-06,1.78664270183256e-06,2.32263551238233e-05,2.14397124219907e-05,0,0,0,1.78664270183256e-06,0,0,1.78664270183256e-06,3.57328540366512e-06,3.57328540366512e-06,0,0,0,0,0,0,0,0,0,0,3.57328540366512e-06,0,0,2.67996405274884e-05,0,0,5.35992810549768e-06,0,0,0,0,0,0,0,0,0,0,0,1.07198562109954e-05,3.57328540366512e-06,0,1.78664270183256e-06,0,0,0,0
"Aguascalientes","El Llano",0,0,1.78664270183256e-06,0,7.14657080733024e-06,3.57328540366512e-06,0,0,0,1.42931416146605e-05,0,0,0,5.35992810549768e-06,2.67996405274884e-05,0,1.78664270183256e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14657080733024e-06,0,0,3.57328540366512e-06,0,0,0,0,0,3.57328540366512e-06,2.50129978256558e-05,0,0,0,0,0,0,0
"Aguascalientes","Jesus Maria",1.78664270183256e-06,0,2.14397124219907e-05,8.9332135091628e-06,0.000101838634004456,7.86122788806326e-05,1.78664270183256e-06,0,0,5.35992810549768e-06,3.57328540366512e-06,0,7.14657080733024e-06,0.000101838634004456,3.93061394403163e-05,1.6079784316493e-05,0,3.57328540366512e-06,0,0,0,1.78664270183256e-06,1.07198562109954e-05,5.35992810549768e-06,1.78664270183256e-06,0,1.78664270183256e-06,1.78664270183256e-06,3.57328540366512e-06,0,3.57328540366512e-06,1.42931416146605e-05,1.78664270183256e-06,1.07198562109954e-05,0,3.57328540366512e-06,1.6079784316493e-05,0,0,0,1.78664270183256e-06,0,5.35992810549768e-06,8.03989215824652e-05,8.9332135091628e-06,0,1.78664270183256e-06,8.9332135091628e-06,1.78664270183256e-06,0,0
"Aguascalientes","Pabellon De Arteaga",1.78664270183256e-06,0,0,1.96530697201582e-05,9.29054204952931e-05,6.96790653714698e-05,0,0,0,2.32263551238233e-05,3.57328540366512e-06,0,0,4.10927821421489e-05,3.57328540366512e-06,7.14657080733024e-06,1.07198562109954e-05,1.6079784316493e-05,3.57328540366512e-06,0,1.78664270183256e-06,0,1.78664270183256e-06,0,3.57328540366512e-06,1.78664270183256e-06,0,3.57328540366512e-06,2.14397124219907e-05,0,0,3.57328540366512e-06,1.78664270183256e-06,8.9332135091628e-06,0,0,4.4666067545814e-05,1.78664270183256e-06,1.78664270183256e-06,0,0,0,1.6079784316493e-05,0.000203677268008912,1.25064989128279e-05,0,1.78664270183256e-06,7.14657080733024e-06,0,3.57328540366512e-06,5.35992810549768e-06
"Aguascalientes","Rincon De Romos",0,0,1.07198562109954e-05,2.50129978256558e-05,0.00013935813074294,0.000121491703724614,0,0,0,1.42931416146605e-05,5.35992810549768e-06,0,3.57328540366512e-06,3.21595686329861e-05,1.25064989128279e-05,1.42931416146605e-05,8.9332135091628e-06,1.07198562109954e-05,1.78664270183256e-06,0,1.78664270183256e-06,0,5.35992810549768e-06,0,0,3.57328540366512e-06,0,3.93061394403163e-05,3.75194967384838e-05,0,0,1.25064989128279e-05,0,8.9332135091628e-06,0,1.78664270183256e-06,0.000198317339903414,1.78664270183256e-06,3.57328540366512e-06,0,1.78664270183256e-06,1.78664270183256e-06,5.35992810549768e-06,0.000173304342077758,2.50129978256558e-05,0,0,8.9332135091628e-06,0,5.35992810549768e-06,1.78664270183256e-06
"Aguascalientes","San Francisco De Los Romo",0,0,1.78664270183256e-06,1.78664270183256e-06,5.35992810549768e-06,1.78664270183256e-06,0,0,0,0,0,0,0,2.8586283229321e-05,0,7.14657080733024e-06,0,1.96530697201582e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57328540366512e-06,0,0,1.78664270183256e-06,0,0,0,0,0,5.35992810549768e-06,1.42931416146605e-05,0,0,0,1.78664270183256e-06,0,0,0
"Aguascalientes","San Jose De Gracia",0,0,1.78664270183256e-06,0,5.18126383531442e-05,1.78664270183256e-06,0,0,0,0,0,0,0,1.78664270183256e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57328540366512e-06,7.14657080733024e-06,0,0,1.78664270183256e-06,0,0,0,0,5.35992810549768e-06,0,0,0,0,0,0,6.0745851862307e-05,0,0,0,1.07198562109954e-05,0,1.78664270183256e-06,0
