"mx_state","mx_municipality","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District Of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Aguascalientes","Aguascalientes",1.48702991266886e-05,1.0621642233349e-06,3.39892551467168e-05,5.52325396134147e-05,0.00144135685106546,0.000235800457580347,1.27459706800188e-05,5.31082111667449e-06,0,0.000139143513256872,7.86001525267825e-05,0,1.48702991266886e-05,0.00052683345477411,0.000419554868217285,2.76162698067074e-05,4.1424404710061e-05,4.88595542734053e-05,1.38081349033537e-05,0,1.27459706800188e-05,3.1864926700047e-06,3.71757478167214e-05,2.76162698067074e-05,7.43514956334429e-06,1.38081349033537e-05,3.1864926700047e-06,1.80567917966933e-05,0.00010621642233349,1.0621642233349e-06,5.31082111667449e-06,4.1424404710061e-05,1.59324633500235e-05,8.92217947601314e-05,1.0621642233349e-06,1.38081349033537e-05,0.000224116651123664,1.16838064566839e-05,5.31082111667449e-06,0,1.91189560200282e-05,2.1243284466698e-06,8.07244809734523e-05,0.000983564070808116,5.94811965067543e-05,0,2.01811202433631e-05,4.03622404867261e-05,0,5.94811965067543e-05,2.1243284466698e-06
"Aguascalientes","Asientos",3.1864926700047e-06,0,1.0621642233349e-06,4.24865689333959e-06,6.90406745167684e-05,2.97405982533771e-05,0,0,0,6.37298534000939e-06,7.43514956334429e-06,0,1.0621642233349e-06,8.28488094201221e-05,1.27459706800188e-05,0,0,2.1243284466698e-06,0,0,1.0621642233349e-06,0,0,0,0,0,0,0,4.24865689333959e-06,0,1.0621642233349e-06,4.24865689333959e-06,4.24865689333959e-06,1.91189560200282e-05,0,0,1.80567917966933e-05,1.0621642233349e-06,0,0,0,0,4.24865689333959e-06,0.000132770527916862,3.1864926700047e-06,0,1.0621642233349e-06,0,0,0,0
"Aguascalientes","Calvillo",4.24865689333959e-06,0,4.24865689333959e-06,4.24865689333959e-06,0.00031864926700047,8.81596305367966e-05,1.0621642233349e-06,0,0,1.80567917966933e-05,3.71757478167214e-05,1.0621642233349e-06,1.0621642233349e-05,0.000294219489863767,3.0802762476712e-05,5.31082111667449e-06,1.59324633500235e-05,3.1864926700047e-06,1.0621642233349e-06,0,2.1243284466698e-06,0,0,3.1864926700047e-06,4.24865689333959e-06,2.1243284466698e-06,0,3.1864926700047e-06,9.55947801001408e-06,0,0,3.1864926700047e-06,3.1864926700047e-06,4.46108973800657e-05,0,2.1243284466698e-06,0.000394062926857247,1.80567917966933e-05,1.0621642233349e-06,0,2.1243284466698e-06,3.1864926700047e-06,6.37298534000939e-06,0.000115775900343504,2.33676129133678e-05,0,6.37298534000939e-06,1.0621642233349e-05,0,8.49731378667919e-06,1.0621642233349e-06
"Aguascalientes","Cosio",0,0,1.0621642233349e-06,0,2.97405982533771e-05,6.58541818467637e-05,0,0,0,1.0621642233349e-06,0,0,0,4.24865689333959e-06,2.1243284466698e-06,0,1.0621642233349e-06,0,0,0,0,0,1.0621642233349e-06,0,0,0,0,0,3.71757478167214e-05,0,0,6.37298534000939e-06,0,0,0,0,4.24865689333959e-06,0,0,0,0,0,0,1.59324633500235e-05,2.1243284466698e-06,0,0,0,0,0,0
"Aguascalientes","El Llano",0,0,0,0,5.31082111667449e-06,2.1243284466698e-06,0,0,0,1.59324633500235e-05,1.0621642233349e-06,0,1.0621642233349e-06,4.24865689333959e-06,2.86784340300422e-05,1.0621642233349e-06,0,0,1.0621642233349e-06,0,1.0621642233349e-06,0,0,0,0,0,0,0,1.0621642233349e-06,0,0,0,0,0,0,0,8.49731378667919e-06,0,0,0,0,0,3.1864926700047e-06,2.86784340300422e-05,0,0,0,0,0,0,0
"Aguascalientes","Jesus Maria",2.1243284466698e-06,0,3.1864926700047e-06,3.1864926700047e-06,0.000110465079226829,5.52325396134147e-05,0,2.1243284466698e-06,0,1.0621642233349e-05,3.1864926700047e-06,0,1.0621642233349e-06,5.52325396134147e-05,2.33676129133678e-05,8.49731378667919e-06,2.1243284466698e-06,4.24865689333959e-06,1.0621642233349e-06,0,1.0621642233349e-06,0,1.0621642233349e-06,6.37298534000939e-06,0,1.0621642233349e-06,0,1.0621642233349e-06,2.1243284466698e-06,0,0,3.1864926700047e-06,1.0621642233349e-06,4.24865689333959e-06,0,0,9.55947801001408e-06,0,0,0,1.0621642233349e-06,0,6.37298534000939e-06,6.47920176234288e-05,1.0621642233349e-06,0,0,2.1243284466698e-06,0,2.1243284466698e-06,0
"Aguascalientes","Pabellon De Arteaga",1.0621642233349e-06,0,2.1243284466698e-06,1.27459706800188e-05,0.000110465079226829,5.84190322834194e-05,1.0621642233349e-06,0,0,1.91189560200282e-05,4.24865689333959e-06,0,0,5.204604694341e-05,1.59324633500235e-05,3.1864926700047e-06,1.0621642233349e-06,1.80567917966933e-05,0,0,0,0,2.1243284466698e-06,0,1.0621642233349e-06,5.31082111667449e-06,0,4.24865689333959e-06,1.16838064566839e-05,0,0,3.1864926700047e-06,1.0621642233349e-06,1.27459706800188e-05,0,1.0621642233349e-06,6.58541818467637e-05,0,1.0621642233349e-06,0,5.31082111667449e-06,0,1.0621642233349e-06,0.000174194932626923,5.31082111667449e-06,0,0,6.37298534000939e-06,0,2.1243284466698e-06,1.0621642233349e-06
"Aguascalientes","Rincon De Romos",1.0621642233349e-06,2.1243284466698e-06,0,4.03622404867261e-05,0.000161448961946905,0.000155075976606895,0,0,0,1.16838064566839e-05,3.1864926700047e-06,0,2.1243284466698e-06,3.1864926700047e-05,9.55947801001408e-06,2.1243284466698e-06,4.24865689333959e-06,1.16838064566839e-05,6.37298534000939e-06,0,3.1864926700047e-06,0,2.1243284466698e-06,0,2.1243284466698e-06,1.69946275733584e-05,0,2.23054486900329e-05,3.29270909233819e-05,0,2.1243284466698e-06,1.27459706800188e-05,1.0621642233349e-06,1.0621642233349e-05,0,6.37298534000939e-06,0.000195438217093621,6.37298534000939e-06,0,0,4.24865689333959e-06,0,9.55947801001408e-06,0.00015401381238356,2.1243284466698e-05,0,4.24865689333959e-06,6.37298534000939e-06,0,4.24865689333959e-06,2.1243284466698e-06
"Aguascalientes","San Francisco De Los Romo",1.0621642233349e-06,0,1.0621642233349e-06,5.31082111667449e-06,2.01811202433631e-05,1.27459706800188e-05,0,0,0,3.1864926700047e-06,0,0,1.0621642233349e-06,5.41703753900798e-05,2.1243284466698e-06,4.24865689333959e-06,1.0621642233349e-06,1.69946275733584e-05,0,0,0,0,0,0,0,1.0621642233349e-06,0,1.0621642233349e-06,1.0621642233349e-06,0,0,1.0621642233349e-06,1.0621642233349e-06,1.0621642233349e-06,0,1.0621642233349e-06,1.0621642233349e-06,0,0,0,1.0621642233349e-06,0,1.0621642233349e-06,1.48702991266886e-05,2.1243284466698e-06,0,0,2.1243284466698e-06,0,0,0
"Aguascalientes","San Jose De Gracia",1.0621642233349e-06,0,0,0,6.69163460700986e-05,1.0621642233349e-06,0,0,0,1.0621642233349e-06,2.1243284466698e-06,0,0,1.0621642233349e-06,2.1243284466698e-06,0,0,0,0,0,0,0,1.0621642233349e-06,0,0,0,0,0,2.1243284466698e-06,0,0,0,0,0,0,1.0621642233349e-06,2.1243284466698e-06,0,0,0,0,0,2.1243284466698e-06,5.41703753900798e-05,0,0,0,5.31082111667449e-06,0,3.1864926700047e-06,0
