"mx_state","mx_municipality","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District Of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Aguascalientes","Aguascalientes",1.76741567217974e-05,1.26243976584267e-06,5.93346689946056e-05,7.82712654822457e-05,0.00129778807928627,0.000224714278319996,1.1361957892584e-05,8.83707836089871e-06,0,0.000154017651432806,9.72078619698858e-05,1.26243976584267e-06,1.51492771901121e-05,0.000545373978844034,0.000417867562493924,4.29229520386509e-05,7.19590666530323e-05,5.17600303995496e-05,2.27239157851681e-05,0,8.83707836089871e-06,3.78731929752802e-06,3.40858736777522e-05,2.39863555510108e-05,1.26243976584267e-05,3.02985543802241e-05,1.26243976584267e-06,3.02985543802241e-05,0.000106044940330785,2.52487953168535e-06,6.31219882921336e-06,6.43844280579763e-05,1.51492771901121e-05,7.7008825716403e-05,1.26243976584267e-06,1.51492771901121e-05,0.000276474308719545,2.01990362534828e-05,1.51492771901121e-05,1.26243976584267e-06,2.27239157851681e-05,0,9.59454222040431e-05,0.000977128378762228,4.41853918044935e-05,0,3.66107532094375e-05,4.92351508678642e-05,0,5.17600303995496e-05,7.57463859505603e-06
"Aguascalientes","Asientos",0,0,1.26243976584267e-06,6.31219882921336e-06,6.69093075896616e-05,2.39863555510108e-05,1.26243976584267e-06,0,0,6.31219882921336e-06,8.83707836089871e-06,0,1.26243976584267e-06,7.57463859505603e-05,1.89365964876401e-05,0,1.26243976584267e-06,2.52487953168535e-06,0,0,0,0,0,1.26243976584267e-06,0,0,0,0,1.26243976584267e-06,0,0,3.78731929752802e-06,5.04975906337069e-06,2.01990362534828e-05,0,0,1.76741567217974e-05,0,0,0,0,0,1.26243976584267e-05,0.000136343494711009,2.52487953168535e-06,0,1.26243976584267e-06,1.26243976584267e-06,0,0,0
"Aguascalientes","Calvillo",3.78731929752802e-06,0,3.78731929752802e-06,1.51492771901121e-05,0.000243650874807636,7.7008825716403e-05,0,0,0,2.52487953168534e-05,5.30224701653922e-05,0,2.39863555510108e-05,0.000272686989422017,1.89365964876401e-05,5.04975906337069e-06,2.90361146143815e-05,2.52487953168535e-06,3.78731929752802e-06,0,0,0,0,3.78731929752802e-06,2.52487953168535e-06,2.52487953168535e-06,1.26243976584267e-06,0,1.38868374242694e-05,0,0,5.04975906337069e-06,2.52487953168535e-06,2.27239157851681e-05,1.26243976584267e-06,5.04975906337069e-06,0.00034464605607505,8.83707836089871e-06,1.26243976584267e-06,0,3.78731929752802e-06,2.52487953168535e-06,7.57463859505603e-06,0.00010856981986247,2.52487953168534e-05,0,2.52487953168535e-06,1.51492771901121e-05,0,1.26243976584267e-05,0
"Aguascalientes","Cosio",1.26243976584267e-06,0,2.52487953168535e-06,0,3.15609941460668e-05,5.42849099312349e-05,0,0,0,0,0,0,1.26243976584267e-06,5.04975906337069e-06,1.26243976584267e-06,0,2.52487953168535e-06,0,0,0,0,0,0,0,0,2.52487953168535e-06,0,0,2.14614760193254e-05,0,0,6.31219882921336e-06,0,0,0,0,2.52487953168535e-06,1.26243976584267e-06,0,0,0,0,0,6.31219882921336e-06,1.26243976584267e-06,0,0,0,0,0,0
"Aguascalientes","El Llano",0,0,0,0,1.38868374242694e-05,1.26243976584267e-06,0,0,0,1.00995181267414e-05,0,0,2.52487953168535e-06,7.57463859505603e-06,2.65112350826961e-05,1.26243976584267e-06,0,0,1.26243976584267e-06,0,0,0,0,0,1.26243976584267e-06,0,0,1.26243976584267e-06,1.26243976584267e-06,0,0,1.26243976584267e-06,0,1.26243976584267e-06,0,0,1.38868374242694e-05,0,0,0,1.26243976584267e-06,0,1.26243976584267e-06,1.64117169559547e-05,0,0,1.26243976584267e-06,0,0,1.26243976584267e-06,0
"Aguascalientes","Jesus Maria",0,0,3.78731929752802e-06,5.04975906337069e-06,0.000112357139159998,6.31219882921336e-05,0,0,0,1.26243976584267e-05,1.00995181267414e-05,0,0,5.80722292287629e-05,2.27239157851681e-05,1.26243976584267e-05,2.52487953168535e-06,0,0,0,0,0,2.52487953168535e-06,7.57463859505603e-06,0,2.52487953168535e-06,0,1.26243976584267e-06,6.31219882921336e-06,0,0,1.51492771901121e-05,1.26243976584267e-06,2.52487953168535e-06,0,1.26243976584267e-06,2.27239157851681e-05,2.52487953168535e-06,0,0,1.26243976584267e-06,0,6.31219882921336e-06,4.92351508678642e-05,1.26243976584267e-06,0,1.26243976584267e-06,7.57463859505603e-06,0,1.26243976584267e-06,1.26243976584267e-06
"Aguascalientes","Pabellon De Arteaga",0,0,2.52487953168535e-06,1.38868374242694e-05,7.95337052480883e-05,4.41853918044935e-05,0,0,0,1.38868374242694e-05,3.78731929752802e-06,0,0,4.54478315703362e-05,1.00995181267414e-05,5.04975906337069e-06,2.52487953168535e-06,2.39863555510108e-05,2.52487953168535e-06,0,1.26243976584267e-06,0,0,0,2.52487953168535e-06,5.04975906337069e-06,0,6.31219882921336e-06,7.57463859505603e-06,0,1.26243976584267e-06,2.52487953168535e-06,2.52487953168535e-06,3.78731929752802e-06,0,1.26243976584267e-06,4.41853918044935e-05,1.26243976584267e-06,0,0,0,0,6.31219882921336e-06,0.000174216687686289,7.57463859505603e-06,0,1.26243976584267e-06,2.27239157851681e-05,0,5.04975906337069e-06,0
"Aguascalientes","Rincon De Romos",0,0,2.52487953168535e-06,4.54478315703362e-05,0.000142655693540222,0.000119931777755054,0,0,0,8.83707836089871e-06,1.00995181267414e-05,0,3.78731929752802e-06,2.14614760193254e-05,7.57463859505603e-06,2.52487953168535e-06,6.31219882921336e-06,1.26243976584267e-05,7.57463859505603e-06,0,1.26243976584267e-06,0,3.78731929752802e-06,0,2.52487953168535e-06,1.51492771901121e-05,0,3.78731929752802e-05,4.03980725069655e-05,0,2.52487953168535e-06,1.26243976584267e-05,0,1.51492771901121e-05,0,3.78731929752802e-06,0.000176741567217974,2.52487953168535e-06,1.26243976584267e-06,0,1.26243976584267e-06,0,1.51492771901121e-05,0.000131293735647638,1.64117169559547e-05,0,2.52487953168535e-06,7.57463859505603e-06,0,2.52487953168535e-06,0
"Aguascalientes","San Francisco De Los Romo",0,0,1.26243976584267e-06,8.83707836089871e-06,1.38868374242694e-05,1.00995181267414e-05,1.26243976584267e-06,0,0,3.78731929752802e-06,1.26243976584267e-06,0,1.26243976584267e-06,4.67102713361789e-05,1.26243976584267e-06,6.31219882921336e-06,0,1.38868374242694e-05,0,0,0,0,1.26243976584267e-06,1.26243976584267e-06,0,0,0,0,1.26243976584267e-06,0,0,1.26243976584267e-06,1.26243976584267e-06,0,0,0,5.04975906337069e-06,0,0,0,0,0,3.78731929752802e-06,1.76741567217974e-05,1.26243976584267e-06,0,0,2.52487953168535e-06,0,1.26243976584267e-06,0
"Aguascalientes","San Jose De Gracia",0,0,0,0,4.03980725069655e-05,0,0,0,1.26243976584267e-06,0,2.52487953168535e-06,0,0,2.52487953168535e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26243976584267e-06,0,0,0,0,0,0,0,2.52487953168535e-06,0,0,0,0,0,1.26243976584267e-06,4.67102713361789e-05,0,0,0,7.57463859505603e-06,0,2.52487953168535e-06,0
