"mx_state","mx_municipality","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District Of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Aguascalientes","Aguascalientes",1.67905379825664e-05,1.2915798448128e-06,8.39526899128321e-05,0.00010590954727465,0.0011404650029697,0.000344851818565018,NA,1.16242186033152e-05,0,0.000133032724015719,0.000134324303860531,1.2915798448128e-06,1.54989581377536e-05,0.000614792006130894,0.000516631937925121,7.10368914647041e-05,6.45789922406401e-05,5.94126728613889e-05,1.54989581377536e-05,0,1.16242186033152e-05,1.2915798448128e-06,9.04105891368962e-05,4.77884542580737e-05,7.74947906887681e-06,4.00389751891969e-05,3.87473953443841e-06,4.64968744132609e-05,9.42853286713346e-05,0,3.87473953443841e-06,4.52052945684481e-05,1.16242186033152e-05,8.00779503783937e-05,1.2915798448128e-06,4.39137147236353e-05,0.00047917612242555,1.03326387585024e-05,1.16242186033152e-05,1.2915798448128e-06,6.45789922406401e-06,6.45789922406401e-06,0.000130449564326093,0.00137682411457045,3.87473953443841e-05,0,2.32484372066304e-05,4.13305550340097e-05,0,2.5831596896256e-05,1.03326387585024e-05
"Aguascalientes","Asientos",1.2915798448128e-06,0,1.2915798448128e-06,7.74947906887681e-06,6.84537317750785e-05,2.32484372066304e-05,NA,0,0,1.2915798448128e-05,5.16631937925121e-06,0,2.5831596896256e-06,8.26611100680193e-05,1.42073782929408e-05,1.2915798448128e-06,5.16631937925121e-06,2.5831596896256e-06,1.2915798448128e-06,0,0,0,7.74947906887681e-06,0,2.5831596896256e-06,0,0,2.5831596896256e-06,2.5831596896256e-06,0,0,2.5831596896256e-06,1.2915798448128e-06,1.80821178273792e-05,0,5.16631937925121e-06,4.90800341028865e-05,0,0,0,0,0,3.48726558099457e-05,0.000126574824791655,2.5831596896256e-06,0,1.2915798448128e-06,0,0,0,0
"Aguascalientes","Calvillo",2.5831596896256e-06,0,3.87473953443841e-06,7.74947906887681e-06,0.000205361195325235,9.04105891368962e-05,NA,0,0,1.16242186033152e-05,3.87473953443841e-05,0,1.42073782929408e-05,0.000215693834083738,1.67905379825664e-05,1.2915798448128e-06,3.09979162755073e-05,3.87473953443841e-06,1.2915798448128e-06,0,0,0,6.45789922406401e-06,9.04105891368961e-06,3.87473953443841e-06,3.87473953443841e-06,3.87473953443841e-06,0,1.16242186033152e-05,0,0,2.5831596896256e-06,1.2915798448128e-06,1.67905379825664e-05,0,6.45789922406401e-06,0.000503716139476993,5.16631937925121e-06,0,0,6.45789922406401e-06,6.45789922406401e-06,2.5831596896256e-06,0.000104617967429837,7.74947906887681e-06,0,0,6.45789922406401e-06,0,6.45789922406401e-06,1.2915798448128e-06
"Aguascalientes","Cosio",0,0,0,1.2915798448128e-06,2.84147565858816e-05,4.52052945684481e-05,NA,0,0,0,0,0,0,3.87473953443841e-06,2.5831596896256e-06,0,3.87473953443841e-06,0,0,0,0,0,0,0,0,2.5831596896256e-06,0,1.2915798448128e-06,3.09979162755073e-05,0,0,1.03326387585024e-05,0,0,0,0,1.03326387585024e-05,0,0,0,0,0,0,1.03326387585024e-05,3.87473953443841e-06,0,0,0,0,1.2915798448128e-06,0
"Aguascalientes","El Llano",0,0,0,0,9.04105891368961e-06,0,NA,0,0,2.97063364306945e-05,0,0,1.2915798448128e-06,3.87473953443841e-06,2.84147565858816e-05,1.2915798448128e-06,0,0,0,0,0,0,0,0,0,0,0,0,1.2915798448128e-06,0,0,0,0,2.5831596896256e-06,0,0,9.04105891368961e-06,0,0,0,0,0,5.16631937925121e-06,1.67905379825664e-05,0,0,1.2915798448128e-06,1.2915798448128e-06,0,0,0
"Aguascalientes","Jesus Maria",0,0,1.16242186033152e-05,1.16242186033152e-05,0.000114950606188339,6.71621519302657e-05,NA,1.2915798448128e-06,0,1.67905379825664e-05,1.2915798448128e-05,0,2.5831596896256e-06,0.000113659026343527,3.61642356547585e-05,2.45400170514432e-05,7.74947906887681e-06,1.16242186033152e-05,0,0,1.2915798448128e-06,0,9.04105891368961e-06,9.04105891368961e-06,0,3.87473953443841e-06,1.2915798448128e-06,7.74947906887681e-06,6.45789922406401e-06,0,0,1.16242186033152e-05,1.2915798448128e-06,3.87473953443841e-06,0,3.87473953443841e-06,6.58705720854529e-05,0,0,0,2.5831596896256e-06,2.5831596896256e-06,1.80821178273792e-05,0.000108492706964275,6.45789922406401e-06,0,2.5831596896256e-06,5.16631937925121e-06,0,2.5831596896256e-06,0
"Aguascalientes","Pabellon De Arteaga",1.2915798448128e-06,0,1.03326387585024e-05,1.9373697672192e-05,0.00010590954727465,4.90800341028865e-05,NA,0,0,1.03326387585024e-05,3.87473953443841e-06,0,1.2915798448128e-06,6.71621519302657e-05,5.16631937925121e-06,7.74947906887681e-06,9.04105891368961e-06,1.80821178273792e-05,0,0,0,0,6.45789922406401e-06,0,7.74947906887681e-06,9.04105891368961e-06,0,9.04105891368961e-06,1.2915798448128e-05,0,0,5.16631937925121e-06,2.5831596896256e-06,1.03326387585024e-05,0,1.16242186033152e-05,0.000108492706964275,1.2915798448128e-06,0,0,1.2915798448128e-06,1.2915798448128e-06,1.54989581377536e-05,0.000255732809272935,1.80821178273792e-05,0,5.16631937925121e-06,5.16631937925121e-06,0,0,5.16631937925121e-06
"Aguascalientes","Rincon De Romos",0,0,9.04105891368961e-06,8.39526899128321e-05,0.000178238018584167,0.000160155900756788,NA,0,0,1.03326387585024e-05,3.87473953443841e-06,0,1.2915798448128e-06,3.61642356547585e-05,1.2915798448128e-05,5.16631937925121e-06,1.03326387585024e-05,1.42073782929408e-05,2.5831596896256e-06,0,0,0,3.87473953443841e-06,0,7.74947906887681e-06,1.54989581377536e-05,0,4.39137147236353e-05,4.52052945684481e-05,0,1.2915798448128e-06,1.42073782929408e-05,1.2915798448128e-06,1.42073782929408e-05,0,7.74947906887681e-06,0.000489508761184052,3.87473953443841e-06,0,0,0,0,3.48726558099457e-05,0.00017952959842898,3.35810759651328e-05,0,1.2915798448128e-06,3.87473953443841e-06,0,5.16631937925121e-06,3.87473953443841e-06
"Aguascalientes","San Francisco De Los Romo",0,0,2.5831596896256e-06,5.16631937925121e-06,1.2915798448128e-05,9.04105891368961e-06,NA,0,0,3.87473953443841e-06,1.2915798448128e-06,0,1.2915798448128e-06,6.19958325510145e-05,5.16631937925121e-06,7.74947906887681e-06,0,1.67905379825664e-05,0,0,0,0,0,0,0,1.2915798448128e-06,0,0,1.2915798448128e-06,0,0,0,0,2.5831596896256e-06,0,0,2.5831596896256e-06,0,0,0,0,0,2.5831596896256e-06,2.5831596896256e-05,0,0,0,0,0,0,0
"Aguascalientes","San Jose De Gracia",1.2915798448128e-06,0,0,0,4.90800341028865e-05,0,NA,0,0,0,0,0,0,0,1.2915798448128e-06,0,1.2915798448128e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2915798448128e-06,0,0,0,0,3.87473953443841e-06,0,0,0,0,0,1.2915798448128e-06,6.45789922406401e-05,0,0,0,2.5831596896256e-06,0,0,0
