"mx_state","mx_municipality","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District Of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Aguascalientes","Aguascalientes",1.62643367639238e-05,NA,3.45617156233382e-05,5.28590944827525e-05,0.00120966004681684,0.000321220651087496,6.09912628647144e-06,1.01652104774524e-05,0,0.000195172041167086,9.7586020583543e-05,0,2.03304209549048e-05,0.000524524860636544,0.000274460682891215,2.64295472413762e-05,5.4892136578243e-05,6.30243049602049e-05,6.09912628647144e-06,0,2.03304209549048e-06,2.03304209549048e-06,4.6759968196281e-05,5.0826052387262e-05,6.09912628647144e-06,2.23634630503953e-05,0,3.04956314323572e-05,8.94538522015811e-05,0,8.13216838196192e-06,4.87930102917715e-05,1.82973788594143e-05,0.000140279904588843,2.03304209549048e-06,2.64295472413762e-05,0.000199238125358067,1.62643367639238e-05,2.03304209549048e-06,0,5.28590944827525e-05,2.03304209549048e-06,6.30243049602049e-05,0.00113850357347467,5.4892136578243e-05,0,1.42312946684334e-05,3.65947577188286e-05,0,6.50573470556954e-05,2.64295472413762e-05
"Aguascalientes","Asientos",0,NA,0,1.62643367639238e-05,7.92886417241287e-05,2.43965051458858e-05,0,0,0,1.21982525729429e-05,8.13216838196192e-06,0,0,6.09912628647144e-05,8.13216838196192e-06,0,2.03304209549048e-06,0,2.03304209549048e-06,0,2.03304209549048e-06,0,0,0,0,0,0,0,2.03304209549048e-06,0,0,0,0,2.64295472413762e-05,0,2.03304209549048e-06,1.82973788594143e-05,0,0,0,6.09912628647144e-06,0,6.09912628647144e-06,9.7586020583543e-05,4.06608419098096e-06,0,0,0,0,2.03304209549048e-06,2.03304209549048e-06
"Aguascalientes","Calvillo",0,NA,1.62643367639238e-05,6.09912628647144e-06,0.000193138999071596,9.35199363925621e-05,0,0,0,2.03304209549048e-05,2.23634630503953e-05,0,1.62643367639238e-05,0.00021143637793101,3.45617156233382e-05,0,5.28590944827525e-05,0,0,0,0,0,2.03304209549048e-06,8.13216838196192e-06,4.06608419098096e-06,2.03304209549048e-06,0,0,4.06608419098096e-06,0,0,8.13216838196192e-06,0,7.72555996286382e-05,0,2.03304209549048e-06,0.000333418903660439,4.06608419098096e-06,0,0,0,1.21982525729429e-05,8.13216838196192e-06,0.000113850357347467,1.62643367639238e-05,0,6.09912628647144e-06,0,0,8.13216838196192e-06,0
"Aguascalientes","Cosio",0,NA,0,0,3.86277998143191e-05,6.30243049602049e-05,0,0,0,0,0,0,2.03304209549048e-06,6.09912628647144e-06,0,0,2.03304209549048e-06,0,0,0,0,0,2.03304209549048e-06,0,0,0,0,0,2.64295472413762e-05,0,0,6.09912628647144e-06,0,0,0,0,4.06608419098096e-06,0,0,0,0,0,0,2.03304209549048e-05,0,0,0,0,0,0,0
"Aguascalientes","El Llano",0,NA,2.03304209549048e-06,0,8.13216838196192e-06,0,0,0,0,2.64295472413762e-05,2.03304209549048e-06,0,0,2.03304209549048e-06,1.42312946684334e-05,0,2.03304209549048e-06,0,0,0,2.03304209549048e-06,0,0,0,0,0,0,0,0,0,0,0,0,2.03304209549048e-06,0,2.03304209549048e-06,8.13216838196192e-06,0,0,0,0,0,4.06608419098096e-06,1.01652104774524e-05,0,0,2.03304209549048e-06,0,0,0,0
"Aguascalientes","Jesus Maria",0,NA,4.06608419098096e-06,4.06608419098096e-06,0.0001280816520159,4.87930102917715e-05,0,2.03304209549048e-06,0,1.01652104774524e-05,2.03304209549048e-06,0,2.03304209549048e-06,7.11564733421668e-05,1.62643367639238e-05,1.42312946684334e-05,6.09912628647144e-06,4.06608419098096e-06,0,0,0,0,4.06608419098096e-06,1.42312946684334e-05,2.03304209549048e-06,0,0,6.09912628647144e-06,6.09912628647144e-06,0,0,2.03304209549048e-06,0,4.06608419098096e-06,0,0,1.62643367639238e-05,0,0,0,4.06608419098096e-06,0,8.13216838196192e-06,5.28590944827525e-05,2.03304209549048e-06,0,6.09912628647144e-06,8.13216838196192e-06,0,0,4.06608419098096e-06
"Aguascalientes","Pabellon De Arteaga",2.03304209549048e-06,NA,0,1.62643367639238e-05,0.000117916441538448,4.6759968196281e-05,0,0,0,2.23634630503953e-05,8.13216838196192e-06,0,0,6.30243049602049e-05,1.01652104774524e-05,0,6.09912628647144e-06,2.23634630503953e-05,4.06608419098096e-06,0,0,0,2.03304209549048e-06,0,0,0,0,1.62643367639238e-05,4.06608419098096e-06,0,0,0,0,1.62643367639238e-05,0,0,6.09912628647144e-05,2.03304209549048e-06,0,0,8.13216838196192e-06,0,0,0.0001707755360212,8.13216838196192e-06,0,0,4.06608419098096e-06,0,2.03304209549048e-06,1.01652104774524e-05
"Aguascalientes","Rincon De Romos",2.03304209549048e-06,NA,4.06608419098096e-06,5.28590944827525e-05,0.000107751231060995,0.000195172041167086,0,0,0,2.03304209549048e-05,4.06608419098096e-06,0,0,2.43965051458858e-05,6.09912628647144e-06,8.13216838196192e-06,2.03304209549048e-06,6.09912628647144e-06,1.01652104774524e-05,0,0,0,8.13216838196192e-06,2.03304209549048e-06,2.03304209549048e-06,1.21982525729429e-05,0,3.45617156233382e-05,1.42312946684334e-05,0,0,4.06608419098096e-06,2.03304209549048e-06,1.42312946684334e-05,0,1.21982525729429e-05,0.000217535504217481,6.09912628647144e-06,0,0,2.03304209549048e-06,0,6.09912628647144e-06,0.000140279904588843,2.84625893368667e-05,0,4.06608419098096e-06,2.03304209549048e-06,0,8.13216838196192e-06,2.03304209549048e-06
"Aguascalientes","San Francisco De Los Romo",0,NA,4.06608419098096e-06,2.03304209549048e-06,6.09912628647144e-06,8.13216838196192e-06,0,0,0,4.06608419098096e-06,0,0,0,4.6759968196281e-05,0,4.06608419098096e-06,0,2.84625893368667e-05,0,0,0,0,0,2.03304209549048e-06,0,0,0,0,2.03304209549048e-06,0,0,0,0,0,0,0,2.03304209549048e-06,0,0,0,0,0,0,1.21982525729429e-05,2.03304209549048e-06,0,0,0,0,0,0
"Aguascalientes","San Jose De Gracia",0,NA,0,0,3.86277998143191e-05,4.06608419098096e-06,0,0,0,2.03304209549048e-06,0,0,0,2.03304209549048e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03304209549048e-06,2.03304209549048e-06,0,0,0,0,0,0,5.0826052387262e-05,0,0,0,2.03304209549048e-06,0,1.21982525729429e-05,0
